id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,timezone
32275,AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972076416,165.7949981689453,18.0,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,yes,AGGL,SCZ,,,,,Pacific/Guadalcanal
4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,10.0,OC,SB,SB-WE,Munda,yes,AGGM,MUA,,,https://en.wikipedia.org/wiki/Munda_Airport,,Pacific/Guadalcanal
31563,AGGN,small_airport,Nusatupe Airport,-8.09778022766,156.863998413,13.0,OC,SB,SB-WE,Gizo,yes,AGGN,GZO,,,https://en.wikipedia.org/wiki/Nusatupe_Airport,,Pacific/Guadalcanal
31932,AGGO,small_airport,Mono Airport,-7.416940212249756,155.56500244140625,,OC,SB,SB-WE,Stirling Island,yes,AGGO,MNY,,,https://en.wikipedia.org/wiki/Mono_Airport,,Pacific/Guadalcanal
32174,AGGP,small_airport,Parasi Airport,-9.64167022705078,161.4250030517578,,OC,SB,SB-ML,Parasi,no,AGGP,PRS,,,,,Pacific/Guadalcanal
35171,AGGR,small_airport,Rennell/Tingoa Airport,-11.533900260925291,160.06300354003906,,OC,SB,SB-RB,Rennell Island,yes,AGGR,RNL,,,,,Pacific/Guadalcanal
30989,AGGS,small_airport,Sege Airport,-8.578889846801758,157.87600708007812,,OC,SB,SB-WE,Sege,no,AGGS,EGM,,,,,Pacific/Guadalcanal
308425,AGGT,small_airport,Santa Ana Airport,-10.847994,162.454108,3.0,OC,SB,SB-MK,Santa Ana Island,yes,AGGT,NNB,,,https://en.wikipedia.org/wiki/Santa_Ana_Airport_(Solomon_Islands),,Pacific/Guadalcanal
32238,AGGU,small_airport,Marau Airport,-9.86166954041,160.824996948,,OC,SB,SB-GU,Marau,yes,AGGU,RUS,,,https://en.wikipedia.org/wiki/Marau_Airport,,Pacific/Guadalcanal
32564,AGGV,small_airport,Suavanao Airport,-7.585559844970703,158.7310028076172,,OC,SB,SB-IS,Suavanao,yes,AGGV,VAO,,,,,Pacific/Guadalcanal
302292,AGGY,small_airport,Yandina Airport,-9.092816,159.21841,60.0,OC,SB,SB-CE,Yandina,yes,AGGY,XYA,,,https://en.wikipedia.org/wiki/Yandina_Airport,,Pacific/Guadalcanal
301651,AGK,small_airport,Kagua Airport,-6.396388888890001,143.853611111,5350.0,OC,PG,PG-SHM,Kagua,no,,AGK,,,,,Pacific/Port_Moresby
35169,AGKG,small_airport,Kaghau Airport,-7.3305,157.585,30.0,OC,SB,SB-CH,Kagau Island,yes,AGKG,KGE,,,https://en.wikipedia.org/wiki/Kaghau_Airport,Kagau Island,Pacific/Guadalcanal
310179,AGKU,small_airport,Kukudu Airport,-8.0262,156.94783,32.0,OC,SB,SB-WE,Kolombangara Island,no,AGKU,KUE,,,,Kukundu,Pacific/Guadalcanal
308424,AGKW,small_airport,Kwailabesi Airport,-8.360508,160.775127,52.0,OC,SB,SB-ML,Kwailabesi,no,AGKW,KWS,,,,,Pacific/Guadalcanal
301652,AGL,small_airport,Wanigela Airport,-9.3375,149.155555556,53.0,OC,PG,PG-NPP,,no,AYWG,AGL,WGL,,https://en.wikipedia.org/wiki/Wanigela_Airport,,Pacific/Port_Moresby
310002,AGNA,small_airport,Nana Airport,-10.6758,162.2049,60.0,OC,SB,SB-MK,Star Harbor,no,AGNA,NAZ,,,,,Pacific/Guadalcanal
508090,AGOB,small_airport,Manaoba Airport,-8.325008,160.80051,14.0,OC,SB,SB-ML,Manaoba,yes,AGOB,MHM,,,,,Pacific/Guadalcanal
35168,AGOK,small_airport,Gatokae Aerodrome,-8.738358,158.202836,70.0,OC,SB,SB-WE,Gatokae,yes,AGOK,GTA,,,https://en.wikipedia.org/wiki/Gatokae_Aerodrome,,Pacific/Guadalcanal
